Id,Name,Age,Gender,Time_length,Loadingsymbol_id,Scale_like,Copy_time,Scale_time
1,LYF,21,1,10,pic/static_1.gif,4,6110,5
2,LYF,21,1,10,pic/dynamic_6.gif,3,8220,3
3,LYF,21,1,5,pic/dynamic_3.gif,5,3531,2
4,LYF,21,1,10,pic/dynamic_1.gif,5,5941,5
5,LYF,21,1,5,pic/dynamic_6.gif,5,4050,2
6,LYF,21,1,15,pic/dynamic_1.gif,5,6313,5
7,LYF,21,1,10,pic/dynamic_3.gif,4,4531,5
8,LYF,21,1,15,pic/static_3.gif,6,7469,5
9,LYF,21,1,15,pic/dynamic_5.gif,5,5672,3
10,LYF,21,1,10,pic/static_4.gif,4,3547,2
11,LYF,21,1,15,pic/dynamic_2.gif,5,7766,3
12,LYF,21,1,5,pic/dynamic_2.gif,4,2374,1
13,LYF,21,1,15,pic/dynamic_3.gif,4,7846,6
14,LYF,21,1,15,pic/static_5.gif,4,6578,5
15,LYF,21,1,15,pic/dynamic_6.gif,4,8313,6
16,LYF,21,1,5,pic/static_3.gif,5,3968,2
17,LYF,21,1,5,pic/static_2.gif,3,4178,2
18,LYF,21,1,10,pic/dynamic_4.gif,5,6875,5
19,LYF,21,1,5,pic/static_1.gif,4,3884,2
20,LYF,21,1,15,pic/static_4.gif,3,7016,5
21,LYF,21,1,15,pic/static_1.gif,5,8532,5
22,LYF,21,1,10,pic/dynamic_2.gif,5,6828,4
23,LYF,21,1,5,pic/dynamic_5.gif,3,4534,1
24,LYF,21,1,5,pic/static_4.gif,3,1306,1
25,LYF,21,1,5,pic/static_5.gif,4,2649,3
26,LYF,21,1,10,pic/static_6.gif,6,2984,3
27,LYF,21,1,5,pic/dynamic_4.gif,4,3866,3
28,LYF,21,1,10,pic/static_5.gif,3,2906,3
29,LYF,21,1,10,pic/static_3.gif,6,7719,5
30,LYF,21,1,5,pic/static_6.gif,6,4532,2
31,LYF,21,1,5,pic/dynamic_1.gif,4,4974,3
32,LYF,21,1,15,pic/static_6.gif,5,8032,5
33,LYF,21,1,10,pic/static_2.gif,4,8126,5
34,LYF,21,1,15,pic/static_2.gif,4,6906,5
35,LYF,21,1,15,pic/dynamic_4.gif,4,5581,4
36,LYF,21,1,10,pic/dynamic_5.gif,4,5719,3
