Id,Name,Age,Gender,Time_length,Loadingsymbol_id,Scale_like,Copy_time,Scale_time
1,wxy,22,2,15,pic/dynamic_3.gif,5,11923,3
2,wxy,22,2,10,pic/dynamic_4.gif,3,11421,2
3,wxy,22,2,5,pic/dynamic_2.gif,6,3021,1
4,wxy,22,2,10,pic/static_1.gif,7,11204,2
5,wxy,22,2,10,pic/dynamic_6.gif,3,9532,3
6,wxy,22,2,10,pic/static_2.gif,4,11078,5
7,wxy,22,2,15,pic/static_2.gif,3,18172,6
8,wxy,22,2,15,pic/static_3.gif,3,16861,6
9,wxy,22,2,5,pic/static_4.gif,6,5395,2
10,wxy,22,2,15,pic/static_5.gif,3,11938,5
11,wxy,22,2,10,pic/dynamic_1.gif,5,10781,5
12,wxy,22,2,15,pic/static_4.gif,6,17347,5
13,wxy,22,2,10,pic/static_4.gif,5,7625,5
14,wxy,22,2,15,pic/static_1.gif,7,12922,5
15,wxy,22,2,5,pic/dynamic_1.gif,5,4250,2
16,wxy,22,2,15,pic/dynamic_6.gif,2,13547,6
17,wxy,22,2,10,pic/static_5.gif,3,13313,5
18,wxy,22,2,15,pic/static_6.gif,5,21189,7
19,wxy,22,2,15,pic/dynamic_1.gif,3,21423,7
20,wxy,22,2,5,pic/static_3.gif,3,3805,1
21,wxy,22,2,15,pic/dynamic_4.gif,2,13875,5
22,wxy,22,2,10,pic/static_3.gif,3,11719,5
23,wxy,22,2,10,pic/dynamic_2.gif,5,10281,5
24,wxy,22,2,5,pic/dynamic_6.gif,3,3047,1
25,wxy,22,2,15,pic/dynamic_2.gif,5,9206,6
26,wxy,22,2,10,pic/dynamic_5.gif,5,8110,3
27,wxy,22,2,5,pic/dynamic_5.gif,6,2469,1
28,wxy,22,2,5,pic/static_2.gif,5,3852,1
29,wxy,22,2,10,pic/dynamic_3.gif,3,7250,3
30,wxy,22,2,15,pic/dynamic_5.gif,5,11250,5
31,wxy,22,2,5,pic/static_1.gif,7,2797,1
32,wxy,22,2,5,pic/dynamic_4.gif,3,7726,2
33,wxy,22,2,5,pic/dynamic_3.gif,5,2672,1
34,wxy,22,2,5,pic/static_5.gif,2,8388,3
35,wxy,22,2,5,pic/static_6.gif,5,3874,3
36,wxy,22,2,10,pic/static_6.gif,4,11344,6
