Id,Name,Age,Gender,Time_length,Loadingsymbol_id,Scale_like,Copy_time,Scale_time
1,zqr,19,2,10,pic/static_1.gif,7,9996,3
2,zqr,19,2,5,pic/dynamic_4.gif,5,5986,2
3,zqr,19,2,15,pic/static_6.gif,5,7114,5
4,zqr,19,2,5,pic/dynamic_3.gif,5,4212,2
5,zqr,19,2,5,pic/static_4.gif,4,6742,2
6,zqr,19,2,15,pic/dynamic_4.gif,5,10619,6
7,zqr,19,2,5,pic/dynamic_6.gif,7,4951,2
8,zqr,19,2,15,pic/static_5.gif,3,10833,6
9,zqr,19,2,10,pic/dynamic_2.gif,5,7739,5
10,zqr,19,2,5,pic/static_3.gif,3,8191,2
11,zqr,19,2,10,pic/dynamic_3.gif,5,8359,3
12,zqr,19,2,5,pic/static_2.gif,5,6716,3
13,zqr,19,2,15,pic/dynamic_2.gif,5,10757,5
14,zqr,19,2,10,pic/static_6.gif,3,9529,5
15,zqr,19,2,15,pic/static_3.gif,2,11063,6
16,zqr,19,2,5,pic/static_6.gif,2,5424,2
17,zqr,19,2,10,pic/static_5.gif,2,9605,5
18,zqr,19,2,10,pic/static_4.gif,2,9764,6
19,zqr,19,2,10,pic/dynamic_4.gif,6,9312,5
20,zqr,19,2,5,pic/dynamic_1.gif,6,5815,2
21,zqr,19,2,5,pic/static_5.gif,2,5256,1
22,zqr,19,2,5,pic/dynamic_5.gif,5,5387,2
23,zqr,19,2,15,pic/static_1.gif,3,14775,6
24,zqr,19,2,10,pic/static_2.gif,3,9389,6
25,zqr,19,2,15,pic/dynamic_1.gif,5,13689,6
26,zqr,19,2,5,pic/static_1.gif,3,5447,2
27,zqr,19,2,15,pic/static_2.gif,2,15068,7
28,zqr,19,2,10,pic/dynamic_6.gif,6,10256,6
29,zqr,19,2,15,pic/dynamic_3.gif,5,10051,6
30,zqr,19,2,10,pic/static_3.gif,2,11203,3
31,zqr,19,2,15,pic/dynamic_5.gif,5,13553,7
32,zqr,19,2,10,pic/dynamic_1.gif,5,12593,6
33,zqr,19,2,10,pic/dynamic_5.gif,3,9135,6
34,zqr,19,2,5,pic/dynamic_2.gif,3,5763,1
35,zqr,19,2,15,pic/static_4.gif,2,16723,7
36,zqr,19,2,15,pic/dynamic_6.gif,6,13601,7
